"DATE","nomcapital","cpi","nomlabor","nomoutput","labor","cap","output","capelast","labelast","gamma","year","F0","prod","wage","capprice","c0","labprod","capprod","prodprod","outputind","prodind","c0ind","wageind","cappriceind","gammaind","capelastind","labelastind","part.output","part.cost","part.cap","part.lab","part.tech","part.noncost"
"2007-01-01",3663.95,90.30832,6388.41,10709.23,195.058,96.9,11858.5197908676,0.342130106459568,0.59653308407794,0.0613368094624916,2007,-4.7104172649801,9.38072956920685,32.7513355002102,37.8116615067079,-146.450523711469,60.7948394368216,122.378945210191,1.00007229132789,-0.025318023134143,0.00685298534012801,1.42537893723977,-0.0988277687608226,-0.0885174122386649,0.0105546262278602,-0.0495097483087474,0.0284308468628101,0.57538845616474,8.27111877231251,0.0987390348386243,0.146561339620056,0.288921966270915,1.10961079689434
"2008-01-01",3693.73,93.77535,6385.47,10734.58,192.654,99.299,11447.1233645089,0.344096368931062,0.594850473889058,0.0610531571798802,2008,-4.71070179484682,9.34454742827092,33.1447569217353,37.1980583893091,-146.57070948401,59.4180414863377,115.279341831327,1.00094676250302,-0.0482250218415032,-0.0293291555958035,1.30519316469938,-0.0868869667603858,-0.104878406673467,0.00591939675183362,-0.0437790808888794,0.0256062127701804,0.570571898407456,8.24198083789266,0.0983831512070682,0.146008323655403,0.287603217108327,1.10256659037825
"2009-01-01",3611.16,93.44194,6102.89,10329.57,180.217,100,11054.5329003229,0.349594416805346,0.590817429960783,0.0595881532338712,2009,-4.71501863695595,9.34687143676619,33.8641193672073,36.1116,-150.435413356221,61.3401227427097,110.545329003229,0.964374478419979,-0.0163887711136619,-0.0270051471005317,-2.55951070751223,-0.0654154805308056,-0.134520829391232,-0.0183687340559655,-0.0279271678537953,0.0188031957202565,0.554801211615759,8.27196800921198,0.0966089369447039,0.142534025954262,0.28095925303949,1.07490342755421
"2010-01-01",3900.27,94.97442,6221.48,10767.99,180.418,99.951,11337.7791620102,0.362209660298719,0.577775425125766,0.060014914575515,2010,-4.70506942086294,9.37140251578644,34.4836989657351,39.0218206921392,-149.680055490317,62.8417295503229,113.433373973348,0.965116172598396,0.00779640526818515,-0.00247406808027861,-1.80415284160767,-0.0472847900128683,-0.0570139781628751,-0.0112324095351517,0.0075223749950255,-0.00351860147777494,0.560292983942259,8.28522035300418,0.101726213089529,0.141788626385518,0.282374339364957,1.08618216278226
"2011-01-01",4029.67,97.97262,6496.55,11207.83,184.743,101.134,11439.7573526155,0.359540606879298,0.579643873970251,0.060815519150451,2011,-4.70250517912384,9.362413824718,35.1653377935835,39.844859295588,-147.423316794758,61.9225483651097,113.114851114516,0.982589573492869,-0.00693854661822346,-0.0114627591487171,0.452585853950978,-0.0277106329691819,-0.0361415772052314,0.00201948846076361,0.000126283278249151,-0.000289952242306768,0.568311907433741,8.26045392160818,0.102941758545028,0.14472094335495,0.285985293776101,1.10195990310982
"2012-01-01",4233.66,100,6828.26,11776.68,188.869,102.482,11776.68,0.359495205779558,0.579811967379601,0.0606928268408414,2012,-4.70317597281184,9.37387658386672,36.1534185070075,41.3112546593548,-147.875902648709,62.3536948890501,114.914619152632,1,0,0,0,0,0,0,0,0,0.568927068332041,8.27055223924598,0.103512426327517,0.145435805041306,0.285449044919875,1.10332434462074
"2013-01-01",4442.81,101.46483,7002.44,12197.26,192.452,104.439,12021.1702912231,0.364246560293049,0.574099428888127,0.0616540108188233,2013,-4.69523353713033,9.37674536020016,36.3853844075406,42.5397600513218,-145.463793259551,62.4632131192353,115.102311313045,1.01783640733237,0.00175486254287804,0.00286877633344318,2.41210938915796,0.0063956581006388,0.0293041964590337,0.0157127682567597,0.0131301605008851,-0.00990125442708578,0.579203953788611,8.25429639514286,0.106904726127898,0.146860305845659,0.289479979295135,1.1224489650573
"2014-01-01",4674.49,103.11082,7364.09,12817.34,196.958,106.808,12430.6450089331,0.364700476073819,0.574541207458022,0.0607583164681595,2014,-4.69965041038594,9.38874684248318,37.3891388011657,43.765354655082,-147.868416116617,63.1131764586009,116.383089365339,1.03995062075337,0.0121066356057895,0.0148702586164546,0.00748653209197414,0.0336087472154132,0.0577075420204123,0.00107845232051629,0.0143755619273074,-0.00913203457241807,0.572824551520823,8.27853350348844,0.106084708966418,0.145761231583553,0.285542846923945,1.11021333899474
"2015-01-01",4791.49,103.23314,7780.67,13369.8,201.332,109.604,12951.0736571609,0.358381576388577,0.581958593247468,0.0596598303639545,2015,-4.70927079845101,9.40766739242583,38.6459678540918,43.7163789642714,-151.006812998809,64.3269507935195,118.162417951543,1.0631822986511,0.0311557540315697,0.0337908085591074,-3.13091035009984,0.0666709363451514,0.0565878637995763,-0.0171665814232274,-0.00310256665754172,0.00369544277248923,0.564914994471942,8.31341018552953,0.102711678270859,0.145676237179982,0.280954296973512,1.09425720689629
"2016-01-01",4920.01,104.53551,8003.42,13733.45,204.605,112.393,13137.5931489692,0.358250111952932,0.582768350268869,0.0589815377781985,2016,-4.71290613923464,9.4035238564193,39.1164438796706,43.7750571654818,-152.734590534061,64.2095410618958,116.889780938041,1.08297214671752,0.0293288835050287,0.0296472725525785,-4.85868788535171,0.0787714295202639,0.0579292113097787,-0.0286010412031126,-0.00346946206353138,0.00508590970789202,0.559335671669842,8.32008245142639,0.101542761066425,0.144588520760274,0.277974451496371,1.08344140499291
